arquivo,aba,valor_ultimo_na_linha,status
C4688852.xlsx,IR_CS_ANUAL,31376.58,ok
C3932074.xlsx,IR_CS_ANUAL,8857.35,ok
C4684688.xlsx,IR_CS_ANUAL,31203.31,ok
C4393154.xlsx,IR_CS_ANUAL,8604.91,ok
C4286766.xlsx,IR_CS_ANUAL,25881.55,ok
C4009882.xlsx,IR_CS_ANUAL,6434.48,ok
C4331508.xlsx,IR_CS_ANUAL,33368,ok
C4131462.xlsx,IR_CS_ANUAL,295.23,ok
C3613304.xlsx,IR_CS_ANUAL,33414.8,ok
C5004034.xlsx,IR_CS_ANUAL,24421.16,ok
C3873366.xlsx,IR_CS_ANUAL,9085.36,ok
C4145184.xlsx,IR_CS_ANUAL,17978.57,ok
C4697862.xlsx,IR_CS_ANUAL,8.232.030.000.000.000,ok
C3819287.xlsx,IR_CS_ANUAL,15337.73,ok
C4627678.xlsx,IR_CS_ANUAL,29973.85,ok
C4491351.xlsx,IR_CS_ANUAL,6170.54,ok
C4511755.xlsx,IR_CS_ANUAL,31097.7,ok
C3825374.xlsx,IR_CS_ANUAL,7619.79,ok
C4532358.xlsx,IR_CS_ANUAL,11344.68,ok
C4497946.xlsx,IR_CS_ANUAL,12757.81,ok
C4222603.xlsx,IR_CS_ANUAL,20447.78,ok
C4719424.xlsx,IR_CS_ANUAL,6991.09,ok
C3681298.xlsx,IR_CS_ANUAL,22216.64,ok
C4853662.xlsx,IR_CS_ANUAL,15645.6,ok
C4517028.xlsx,IR_CS_ANUAL,11803.71,ok
C3559204.xlsx,IR_CS_ANUAL,8187.16,ok
C4142441.xlsx,IR_CS_ANUAL,6853.75,ok
C3946244.xlsx,IR_CS_ANUAL,19740.11,ok
C4537660.xlsx,IR_CS_ANUAL,17784.67,ok
C4027133.xlsx,IR_CS_ANUAL,19476.2,ok
C4249271.xlsx,IR_CS_ANUAL,31844.88,ok
C4692241.xlsx,IR_CS_ANUAL,24253.58,ok
C4099327.xlsx,IR_CS_ANUAL,24120.06,ok
C4043395.xlsx,IR_CS_ANUAL,12241.76,ok
C4961708.xlsx,IR_CS_ANUAL,622.989.999.999.998,ok
C4173631.xlsx,IR_CS_ANUAL,8570.61,ok
C4286060.xlsx,IR_CS_ANUAL,23824.64,ok
C4126699.xlsx,IR_CS_ANUAL,8811.15,ok
C4453672.xlsx,IR_CS_ANUAL,15276.18,ok
C4145320.xlsx,IR_CS_ANUAL,8.082.999.999.999.990,ok
C4898198.xlsx,IR_CS_ANUAL,17050.73,ok
C4648831.xlsx,IR_CS_ANUAL,1653.02,ok
C4168554.xlsx,IR_CS_ANUAL,17065.75,ok
C4462477.xlsx,IR_CS_ANUAL,2.055.080.000.000.000,ok
C3711928.xlsx,IR_CS_ANUAL,34216.89,ok
C4607214.xlsx,IR_CS_ANUAL,20954.33,ok
C4377234.xlsx,IR_CS_ANUAL,-1558.37,ok
C4354805.xlsx,IR_CS_ANUAL,15700.44,ok
C4645749.xlsx,IR_CS_ANUAL,41021.09,ok
C4675393.xlsx,IR_CS_ANUAL,1.518.049.999.999.990,ok
C4542583.xlsx,IR_CS_ANUAL,21179.71,ok
C4311606.xlsx,IR_CS_ANUAL,12631.36,ok
C4316921.xlsx,IR_CS_ANUAL,12370.93,ok
C4642654.xlsx,IR_CS_ANUAL,29052.78,ok
C3979894.xlsx,IR_CS_ANUAL,-550,ok
C4949059.xlsx,IR_CS_ANUAL,10071.23,ok
C4818286.xlsx,IR_CS_ANUAL,5.019.379.999.999.990,ok
C4219779.xlsx,IR_CS_ANUAL,24142.19,ok
C3795741.xlsx,IR_CS_ANUAL,-3055.5,ok
C4033495.xlsx,IR_CS_ANUAL,18247.04,ok
C3576446.xlsx,IR_CS_ANUAL,27426.81,ok
C4376022.xlsx,IR_CS_ANUAL,9777.95,ok
C3901849.xlsx,IR_CS_ANUAL,15407.28,ok
C4326796.xlsx,IR_CS_ANUAL,21587.09,ok
C4609399.xlsx,IR_CS_ANUAL,30504.18,ok
C4121123.xlsx,IR_CS_ANUAL,8164.53,ok
C4605351.xlsx,IR_CS_ANUAL,11994.25,ok
C4540126.xlsx,IR_CS_ANUAL,22297.07,ok
C4039953.xlsx,IR_CS_ANUAL,5.241.699.999.999.980,ok
C3882197.xlsx,IR_CS_ANUAL,11534.21,ok
C4422300.xlsx,IR_CS_ANUAL,14977.69,ok
C4364595.xlsx,IR_CS_ANUAL,10764.76,ok
C3891206.xlsx,IR_CS_ANUAL,33230.71,ok
C4273414.xlsx,IR_CS_ANUAL,8020.29,ok
C4918367.xlsx,IR_CS_ANUAL,12223.25,ok
C4238801.xlsx,IR_CS_ANUAL,12645.89,ok
C4130050.xlsx,IR_CS_ANUAL,12621.75,ok
C4683269.xlsx,IR_CS_ANUAL,20502.61,ok
C3564088.xlsx,IR_CS_ANUAL,17323.59,ok
C4500725.xlsx,IR_CS_ANUAL,23518.27,ok
C4104864.xlsx,IR_CS_ANUAL,24956.08,ok
C4641885.xlsx,IR_CS_ANUAL,9729.98,ok
C4541213.xlsx,IR_CS_ANUAL,-1395,ok
C4657276.xlsx,IR_CS_ANUAL,1.387.664.999.999.990,ok
C4528458.xlsx,IR_CS_ANUAL,15025.73,ok
C3727063.xlsx,IR_CS_ANUAL,24832.96,ok
C4639106.xlsx,IR_CS_ANUAL,35450.48,ok
C4650539.xlsx,IR_CS_ANUAL,6.330.300.000.000.000,ok
C4829722.xlsx,IR_CS_ANUAL,8.542.300.000.000.000,ok
C4512782.xlsx,IR_CS_ANUAL,28414.44,ok
C3873643.xlsx,IR_CS_ANUAL,16905.55,ok
C3654676.xlsx,IR_CS_ANUAL,41357.46,ok
C4236396.xlsx,IR_CS_ANUAL,12703.2,ok
C4128742.xlsx,IR_CS_ANUAL,17601.87,ok
C4605814.xlsx,IR_CS_ANUAL,83655.22,ok
C4755330.xlsx,IR_CS_ANUAL,1.222.959.999.999.990,ok
C3817944.xlsx,IR_CS_ANUAL,4.159.810.000.000.000,ok
C4141946.xlsx,IR_CS_ANUAL,4156.51,ok
C4889746.xlsx,IR_CS_ANUAL,36615.07,ok
C4729146.xlsx,IR_CS_ANUAL,11084.26,ok
C5008291.xlsx,IR_CS_ANUAL,-5208.35,ok
C4610909.xlsx,IR_CS_ANUAL,18625.91,ok
C4198215.xlsx,IR_CS_ANUAL,6633.56,ok
C4892515.xlsx,IR_CS_ANUAL,8131.76,ok
C4537372.xlsx,IR_CS_ANUAL,19107.46,ok
C4422932.xlsx,IR_CS_ANUAL,25019.38,ok
C4830957.xlsx,IR_CS_ANUAL,335,ok
C3972323.xlsx,IR_CS_ANUAL,15455.62,ok
C4198300.xlsx,IR_CS_ANUAL,7538.63,ok
C4248251.xlsx,IR_CS_ANUAL,20434.07,ok
C4219011.xlsx,IR_CS_ANUAL,8870.6,ok
C4104628.xlsx,IR_CS_ANUAL,29217.68,ok
C4594926.xlsx,IR_CS_ANUAL,20395.71,ok
C3997771.xlsx,IR_CS_ANUAL,6368.17,ok
C4498861.xlsx,IR_CS_ANUAL,6667.51,ok
C4288076.xlsx,IR_CS_ANUAL,30917.58,ok
C4130298.xlsx,IR_CS_ANUAL,18296.93,ok
C3920021.xlsx,IR_CS_ANUAL,13171.52,ok
C4144461.xlsx,IR_CS_ANUAL,9492.01,ok
C4294855.xlsx,IR_CS_ANUAL,16872.72,ok
C4526405.xlsx,IR_CS_ANUAL,10518.93,ok
C4176308.xlsx,IR_CS_ANUAL,4.829.459.999.999.990,ok
C3967997.xlsx,IR_CS_ANUAL,25976.94,ok
C3831024.xlsx,IR_CS_ANUAL,18041.07,ok
C3684147.xlsx,IR_CS_ANUAL,13502.56,ok
C4830902.xlsx,IR_CS_ANUAL,6278,ok
C5010987.xlsx,IR_CS_ANUAL,35503.92,ok
C4538468.xlsx,IR_CS_ANUAL,15665.07,ok
C5053189.xlsx,IR_CS_ANUAL,45241.39,ok
C4464511.xlsx,IR_CS_ANUAL,17696.31,ok
C5018995.xlsx,IR_CS_ANUAL,22356.04,ok
C4876681.xlsx,IR_CS_ANUAL,13540.82,ok
C4065150.xlsx,IR_CS_ANUAL,18298.07,ok
C4466844.xlsx,IR_CS_ANUAL,20871.74,ok
C4403845.xlsx,IR_CS_ANUAL,33497.2,ok
C4561552.xlsx,IR_CS_ANUAL,15648.38,ok
C4715005.xlsx,IR_CS_ANUAL,4.893.099.999.999.970,ok
C4923042.xlsx,IR_CS_ANUAL,21621.05,ok
C5068552.xlsx,IR_CS_ANUAL,-33801.23,ok
C3723499.xlsx,IR_CS_ANUAL,4664.28,ok
C3943899.xlsx,IR_CS_ANUAL,11220.07,ok
C4094610.xlsx,IR_CS_ANUAL,15411.62,ok
C3969359.xlsx,IR_CS_ANUAL,38203.32,ok
C4594402.xlsx,IR_CS_ANUAL,27456.52,ok
C4125811.xlsx,IR_CS_ANUAL,18491.1,ok
C4398727.xlsx,IR_CS_ANUAL,24082.96,ok
C3861846.xlsx,IR_CS_ANUAL,14860.8,ok
C4355441.xlsx,IR_CS_ANUAL,17248.9,ok
C4433407.xlsx,IR_CS_ANUAL,13371.71,ok
C4002588.xlsx,IR_CS_ANUAL,8748.19,ok
C4644659.xlsx,IR_CS_ANUAL,26966.47,ok
C3580483.xlsx,IR_CS_ANUAL,7.153.573.000.000.000,ok
C4638259.xlsx,IR_CS_ANUAL,28718.6,ok
C4279377.xlsx,IR_CS_ANUAL,8119.42,ok
C3665851.xlsx,IR_CS_ANUAL,8685.91,ok
C4435228.xlsx,IR_CS_ANUAL,5.291.450.000.000.000,ok
C4373948.xlsx,IR_CS_ANUAL,26030.47,ok
C4171656.xlsx,IR_CS_ANUAL,22579.4,ok
C4279696.xlsx,IR_CS_ANUAL,11080.37,ok
C4623146.xlsx,IR_CS_ANUAL,14276.16,ok
C3903702.xlsx,IR_CS_ANUAL,13224.52,ok
C4014036.xlsx,IR_CS_ANUAL,2598.58,ok
C4608771.xlsx,IR_CS_ANUAL,24528.04,ok
C4614175.xlsx,IR_CS_ANUAL,7922.56,ok
C4816342.xlsx,IR_CS_ANUAL,17264.93,ok
C5002808.xlsx,IR_CS_ANUAL,29041.76,ok
C3879034.xlsx,IR_CS_ANUAL,63058.84,ok
C4554617.xlsx,IR_CS_ANUAL,30852.15,ok
C4779907.xlsx,IR_CS_ANUAL,9669.79,ok
C4171136.xlsx,IR_CS_ANUAL,13655.6,ok
C3885486.xlsx,IR_CS_ANUAL,25777.81,ok
C4484539.xlsx,IR_CS_ANUAL,2836.9,ok
C4375545.xlsx,IR_CS_ANUAL,10481.95,ok
C3962816.xlsx,IR_CS_ANUAL,9.349.300.000.000.000,ok
C3752740.xlsx,IR_CS_ANUAL,6307.99,ok
C4644669.xlsx,IR_CS_ANUAL,37478.95,ok
C4264899.xlsx,IR_CS_ANUAL,7400.75,ok
C4588700.xlsx,IR_CS_ANUAL,30471.35,ok
C5021416.xlsx,IR_CS_ANUAL,9.029.599.999.999.990,ok
