AnoMes,NumContrato,Conta_Nome,Cosif_Nome,ValorDebito,ValorCredito,Movimentacao,GER,IRPJ,CS,PIS,COFINS
999999,4581142,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,141214.34,141214.34,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4581150,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,11684.52,11684.52,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4581183,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,25717.20,0.00,-25717.20,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4581210,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,791942.78,791942.78,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4581302,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,18164.61,18164.61,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4581308,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,731035.88,731035.88,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4581315,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,165802.85,165802.85,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4581350,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,129314.22,129314.22,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4581381,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,26409.51,26409.51,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4581385,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,97509.03,97509.03,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4581455,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,57268.90,57268.90,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4581510,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,65012.46,65012.46,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4581548,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,51497.70,51497.70,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4581571,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,110969.96,110969.96,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
