arquivo,valor_ultimo_na_linha,status
C3015782.xlsx,0.0,ok
C3015364.xlsx,-9.094947017729282e-13,ok
C3016119.xlsx,1.8189894035458565e-12,ok
C3016042.xlsx,0.0,ok
C3016355.xlsx,0.0,ok
C3016220.xlsx,-1.8189894035458565e-12,ok
C3016704.xlsx,0.0,ok
C3016666.xlsx,0.0,ok
C3016869.xlsx,-3.637978807091713e-12,ok
C3017125.xlsx,3.637978807091713e-12,ok
C3017189.xlsx,-1.8189894035458565e-12,ok
C3017357.xlsx,1.8189894035458565e-12,ok
C3017204.xlsx,0.0,ok
C3017543.xlsx,3.637978807091713e-12,ok
C3017582.xlsx,7.275957614183426e-12,ok
C3017774.xlsx,-1.8189894035458565e-12,ok
C3017628.xlsx,1.8189894035458565e-12,ok
C3018320.xlsx,0.0,ok
C3018403.xlsx,0.0,ok
C3018164.xlsx,0.0,ok
C3018405.xlsx,1.8189894035458565e-12,ok
C3019076.xlsx,-1.8189894035458565e-12,ok
C3018852.xlsx,-1.8189894035458565e-12,ok
C3018937.xlsx,0.0,ok
C3019145.xlsx,7.275957614183426e-12,ok
C3019160.xlsx,-7.275957614183426e-12,ok
C3019393.xlsx,3.637978807091713e-12,ok
C3019538.xlsx,-3.637978807091713e-12,ok
C3019715.xlsx,0.0,ok
C3019822.xlsx,0.0,ok
C3019771.xlsx,3.637978807091713e-12,ok
C3019916.xlsx,3.637978807091713e-12,ok
C3020170.xlsx,-3.637978807091713e-12,ok
C3019914.xlsx,3.637978807091713e-12,ok
C3020130.xlsx,0.0,ok
C3019838.xlsx,-3.637978807091713e-12,ok
C3020536.xlsx,-7.275957614183426e-12,ok
C3020354.xlsx,0.0,ok
C3020314.xlsx,3.637978807091713e-12,ok
C3020789.xlsx,0.0,ok
C3020873.xlsx,1.8189894035458565e-12,ok
C3020926.xlsx,0.0,ok
C3020713.xlsx,3.637978807091713e-12,ok
C3020990.xlsx,1.8189894035458565e-12,ok
C3021249.xlsx,0.0,ok
C3021341.xlsx,-3.637978807091713e-12,ok
C3021300.xlsx,-7.275957614183426e-12,ok
C3021322.xlsx,-4.547473508864641e-12,ok
C3021291.xlsx,9.094947017729282e-13,ok
C3021299.xlsx,3.637978807091713e-12,ok
C3021471.xlsx,0.0,ok
C3021464.xlsx,0.0,ok
C3021548.xlsx,-5.4569682106375694e-12,ok
C3022472.xlsx,3.637978807091713e-12,ok
C3021565.xlsx,4.547473508864641e-12,ok
C3022195.xlsx,-3.637978807091713e-12,ok
C3022373.xlsx,0.0,ok
C3022480.xlsx,1.8189894035458565e-12,ok
C3022607.xlsx,-1.8189894035458565e-12,ok
C3023221.xlsx,0.0,ok
C3023287.xlsx,0.0,ok
C3023560.xlsx,-1.8189894035458565e-12,ok
C3023246.xlsx,9.094947017729282e-13,ok
C3023600.xlsx,0.0,ok
C3023675.xlsx,0.0,ok
C3023933.xlsx,-7.275957614183426e-12,ok
C3023949.xlsx,-1.0913936421275139e-11,ok
C3024062.xlsx,0.0,ok
C3024249.xlsx,0.0,ok
C3024050.xlsx,-3.637978807091713e-12,ok
C3023979.xlsx,0.0,ok
C3024727.xlsx,3.637978807091713e-12,ok
C3024643.xlsx,0.0,ok
C3024795.xlsx,0.0,ok
C3024836.xlsx,-3.637978807091713e-12,ok
C3024930.xlsx,0.0,ok
C3025356.xlsx,0.0,ok
C3025230.xlsx,0.0,ok
C3025616.xlsx,-3.637978807091713e-12,ok
C3025416.xlsx,-7.275957614183426e-12,ok
C3025775.xlsx,-3.637978807091713e-12,ok
C3025595.xlsx,0.0,ok
C3025891.xlsx,0.0,ok
C3026218.xlsx,-1.3642420526593924e-12,ok
C3026035.xlsx,0.0,ok
C3026247.xlsx,-4.547473508864641e-12,ok
C3026385.xlsx,-9.094947017729282e-13,ok
C3026277.xlsx,2.7284841053187847e-12,ok
C3026353.xlsx,1.4551915228366852e-11,ok
C3026499.xlsx,0.0,ok
C3026626.xlsx,0.0,ok
C3026758.xlsx,3.637978807091713e-12,ok
C3026666.xlsx,0.0,ok
C3026644.xlsx,-5.4569682106375694e-12,ok
C3027122.xlsx,0.0,ok
C3026870.xlsx,-9.094947017729282e-13,ok
C3026989.xlsx,0.0,ok
C3027318.xlsx,3.637978807091713e-12,ok
C3027646.xlsx,0.0,ok
C3027367.xlsx,0.0,ok
C3027648.xlsx,-9.094947017729282e-13,ok
