arquivo,arquivo_completo,aba,valor_ultimo_na_linha,status
C3005969.xlsx,data/output/C3005969.xlsx,IR_CS_ANUAL,0,ok
C3006107.xlsx,data/output/C3006107.xlsx,IR_CS_ANUAL,0,ok
C3006159.xlsx,data/output/C3006159.xlsx,IR_CS_ANUAL,0,ok
C3006198.xlsx,data/output/C3006198.xlsx,IR_CS_ANUAL,0,ok
C3006209.xlsx,data/output/C3006209.xlsx,IR_CS_ANUAL,0,ok
C3006243.xlsx,data/output/C3006243.xlsx,IR_CS_ANUAL,0,ok
C3006155.xlsx,data/output/C3006155.xlsx,IR_CS_ANUAL,0,ok
C3006304.xlsx,data/output/C3006304.xlsx,IR_CS_ANUAL,0,ok
C3006287.xlsx,data/output/C3006287.xlsx,IR_CS_ANUAL,1.8189894035458565e-12,ok
C3006550.xlsx,data/output/C3006550.xlsx,IR_CS_ANUAL,-1.8189894035458565e-12,ok
C3006528.xlsx,data/output/C3006528.xlsx,IR_CS_ANUAL,-7.275957614183426e-12,ok
C3006718.xlsx,data/output/C3006718.xlsx,IR_CS_ANUAL,0,ok
C3007130.xlsx,data/output/C3007130.xlsx,IR_CS_ANUAL,-3.637978807091713e-12,ok
C3006942.xlsx,data/output/C3006942.xlsx,IR_CS_ANUAL,0,ok
C3007223.xlsx,data/output/C3007223.xlsx,IR_CS_ANUAL,7.275957614183426e-12,ok
C3007226.xlsx,data/output/C3007226.xlsx,IR_CS_ANUAL,0,ok
C3007597.xlsx,data/output/C3007597.xlsx,IR_CS_ANUAL,1.8189894035458565e-12,ok
C3007381.xlsx,data/output/C3007381.xlsx,IR_CS_ANUAL,0,ok
C3007821.xlsx,data/output/C3007821.xlsx,IR_CS_ANUAL,7.275957614183426e-12,ok
C3008008.xlsx,data/output/C3008008.xlsx,IR_CS_ANUAL,0,ok
C3007685.xlsx,data/output/C3007685.xlsx,IR_CS_ANUAL,-3.637978807091713e-12,ok
C3008106.xlsx,data/output/C3008106.xlsx,IR_CS_ANUAL,-3.637978807091713e-12,ok
C3008216.xlsx,data/output/C3008216.xlsx,IR_CS_ANUAL,0,ok
C3008294.xlsx,data/output/C3008294.xlsx,IR_CS_ANUAL,0,ok
